polarity,tweet,brand_name
0,RT wantedinrome Romes Spanish Steps area is sealed off today as LadyGaga and Al Pacino film scenes for Ridley Scotts GUCCI movie on,Gucci
0.233333333,RT ItaniMalange Homemade Romany Creams Recipe For freshly baked mixed biscuits DMWhatsApp 078 947 5662 free,Gucci
0,gucci partners with KPop star Kai weareoneEXO for capsule collection GUCCI KAI,Gucci
0.65,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
0.65,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
0.65,So good I had to share Check out all the items Im loving on Poshmarkapp from Neetab7 poshmark fashion style,Gucci
0.65,So good I had to share Check out all the items Im loving on Poshmarkapp from yeaburrito DesignersBasem1,Gucci
0.65,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
0.25,RT weareoneEXO EXO KAI to feature on ltEsquiregt cover of March issueKAI x Gucci Capsule Collection to be revealed for the first time Th,Gucci
0.507936508,RT weareoneEXO KAI to have a special photoshoot with MonoTube Magazine An exceptional set with more than 50 shotsKAI X Gucci collect,Gucci
0.233333333,RT ItaniMalange Homemade Romany Creams Recipe For freshly baked mixed biscuits DMWhatsApp 078 947 5662 free,Gucci
0.3,gucci model Mens Colorful Polarized AntiUV Sunglasses,Gucci
0,RT isimplyi2 CHECK THIS OUT easter Gucci Gold KeyRing via Etsy vintagejewelry finegoldjewelry designerj,Gucci
0.15,Our Red Red Wine Skirt is nothing short of amazing Whether you have a date a dinner or a sociallydistanced mee,Gucci
0.032467532,GUCCI NEW SINGLE OUT NOW ON ALL PLATFORMS RR NahNahNahNah clickthelinkinmybio reekraw215 The Bag Is C,Gucci
0.233333333,RT ItaniMalange Homemade Romany Creams Recipe For freshly baked mixed biscuits DMWhatsApp 078 947 5662 free,Gucci
0,RT eachdayicry This quote from Patrizia Reggiani is GOLD LadyGaga Gucci,Gucci
0,HouseofGucci backstageLadyGaga madalinaghenea GUCCI,Gucci
0,RT Solem8customs G Rosesole solecollector solesociety supreme gucci nike losangeles sacramento af1 af1custom hypebeast hy,Gucci
0,RT LoganLynn Back in the studio this weekend celebrating 13 years of simply not being a monster Gucci,Gucci
0.65,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
0.25,RT weareoneEXO EXO KAI to feature on ltEsquiregt cover of March issueKAI x Gucci Capsule Collection to be revealed for the first time Th,Gucci
0.507936508,RT weareoneEXO KAI to have a special photoshoot with MonoTube Magazine An exceptional set with more than 50 shotsKAI X Gucci collect,Gucci
0,RT JPARKNET IGIG STORY Jay Park shares HD pics of himself from his shoot for GQ Korea April 2021 IssueCaption gqkorea guc,Gucci
0,RT wantedinrome Romes Spanish Steps area is sealed off today as LadyGaga and Al Pacino film scenes for Ridley Scotts GUCCI movie on,Gucci
0.275,Remember we offer so many amazing male and unisex fragrances not just female onesfm fmworld fragrance chanel,Gucci
0,RT wantedinrome Romes Spanish Steps area is sealed off today as LadyGaga and Al Pacino film scenes for Ridley Scotts GUCCI movie on,Gucci
0.132121212,RT MCufflinks Gucci Cufflinks 80s vintage NEW Old Stock GoldSilver Highly Polished GGMotif Oval Design Hallmarked Men,Gucci
0.125,RT weareoneEXO Global ambassador KAI the hero of Guccis 100th anniversary capsule collection The first Korean artist to come out wi,Gucci
0.507936508,RT weareoneEXO KAI to have a special photoshoot with MonoTube Magazine An exceptional set with more than 50 shotsKAI X Gucci collect,Gucci
0.25,RT weareoneEXO EXO KAI to feature on ltEsquiregt cover of March issueKAI x Gucci Capsule Collection to be revealed for the first time Th,Gucci
0.416666667,Ive asked myself so many times this year why I even stay loyal to LouisVuitton LVServices at all with their horr,Gucci
0.0625,RT jimmalcolm Gucci is launching a series of AugmentedReality sneakers as nonfungible tokens NFT This is part of a major push to kee,Gucci
0,RT FaezanJan Now I can Im Gucci Gucci designed virtual sneakers for hypebeasts in Roblox and VRChat via Verge,Gucci
0,RT gucci HarryStyles and DevontHynes performing together at the GRAMMYs in custom Gucci by AlessandroMichele RecordingAcad htt,Gucci
0.65,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
0,RT gucci HarryStyles and DevontHynes performing together at the GRAMMYs in custom Gucci by AlessandroMichele RecordingAcad htt,Gucci
