TweetID,tweet,brand_name
64,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
65,Vintage never goes out of style FASHION GUCCI VINTAGE From First Ladies to supermodels here are some of the mos,Gucci
66,RT Chiji14xchange ThrowbackThursday Throwback to the time our Footballers were young at heartLet us take a trip down the memory lan,Gucci
67,IERIGOMKAI gucci Please gucci please bring KAIxGucciCollection to Canada Ill travel from New York to buy it,Gucci
68,repost gucci stvincentst find at the digital premiere of GucciAria a film codirected by Floria Sigismondi an,Gucci
69,That vegas drip freshmoneydonediditagain lasvegas vegasstrip gucci jordans superproducer Flamingo Las Vega,Gucci
70,Luxury from Glasgow fashion clothing streetwear luxury model photography ElonMusk nike gucci versace,Gucci
71,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
72,So good I had to share Check out all the items Im loving on Poshmarkapp from jnorsh poshmark fashion style,Gucci
73,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
74,RT weareoneEXO EXO KAI to feature on ltEsquiregt cover of March issueKAI x Gucci Capsule Collection to be revealed for the first time Th,Gucci
75,RT weareoneEXO KAI to have a special photoshoot with MonoTube Magazine An exceptional set with more than 50 shotsKAI X Gucci collect,Gucci
76,RT weareoneEXO Global ambassador KAI the hero of Guccis 100th anniversary capsule collection The first Korean artist to come out wi,Gucci
77,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
78,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
79,So good I had to share Check out all the items Im loving on Poshmarkapp from rachresist poshmark fashion,Gucci
80,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
81,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
82,So good I had to share Check out all the items Im loving on Poshmarkapp from Mindy33676827 poshmark fashion,Gucci
83,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
84,Remember we offer so many amazing male and unisex fragrances not just female onesfm fmworld fragrance chanel,Gucci
85,RT CarbonaraLachi4 Ambassadors for LouisVuitton our boys Happy for everyone exceptTAEHYUNG Gucci,Gucci
86,RT MRennerfelt Final drawing and progress HarryStyles HSHQ HarryStyles WatermelonSugar Gucci grammys OneDirection drawin,Gucci
87,Follow EnvyctusEVisit Leave a commentfashion gucci chanel,Gucci
88,Follow EnvyctusEVisit Leave a commentfashion gucci chanel,Gucci
89,Follow EnvyctusEVisit Leave a commentfashion gucci chanel,Gucci
90,Lets get physical with Gucci,Gucci
91,So good I had to share Check out all the items Im loving on Poshmarkapp from jpleman Tfly210 poshmark,Gucci
92,So good I had to share Check out all the items Im loving on Poshmarkapp from vanessaec8 poshmark fashion,Gucci
93,RT UptownAustin Our onlinestore is here Were slowly adding some of our most exclusive pieces as well as popular items we have in quan,Gucci
94,Final drawing and progress HarryStyles HSHQ HarryStyles WatermelonSugar Gucci grammys OneDirection,Gucci
95,For the 7th year Nike has been ranked as the worlds most valuable apparel brand despite its value going down 13,Gucci
96,RT CarbonaraLachi4 Ambassadors for LouisVuitton our boys Happy for everyone exceptTAEHYUNG Gucci,Gucci
97,RT constantinarte 01 THE SOCIETY 2020 There is always time for some ice cream NFTArt by CONSTANTIN Pro,Gucci
98,RT constantinarte Now Available Exclusive on withFND01 FASHION DIARY 2019 Rule number 1 Never be a num,Gucci
99,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
100,RT CloutNewsMedia DakotaJohnson Wears Sheer Gucci Jumpsuit With A Pink Sequined CardiganGucci Fashion Lifestyle NewProduct LateNi,Gucci
101,Top 3 retro 1s high available at 160 hit up my inbox if you need em DowJones banknifty Nifty adidas,Gucci
102,Go for the Gucci Bid on this GG Supreme tote here fashion designerbag,Gucci
103,HARRY STYLES FEATURES IN NEW GUCCI HANDBAG CAMPAIGNHarryStyles Gucci luxury handbag fashion YEEEAAHNetwork,Gucci
104,RT sesestyle SeSe in the same brand GUCCISehun for Loptimum magazine march 2017 Sejeong birthday gift from fans sejeongdays0828,Gucci
105,RT SaraGar21944353 Veo a harry vestido de gucci automaticamente me acuerdo de esta cancionThe way that Gucci look on you amazing But,Gucci
106,RT MCufflinks Gucci cufflinks 1970s NEW vintage Red Bordeaux Gold GGMotif Oval Hallmarked mensfashion Cuff Links With Gucc,Gucci
107,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
108,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
109,Colorfully Madonnaart music design lifestyle Madonna Gucci photography Gucci by Madonna or Madonna,Gucci
110,I didnt like gucci Until they came out with this new collection Gucci GucciMulticolor NOW YALL TALKING,Gucci
111,RT LoveBii4 Polyplus Jad Hai Twitter Update with My Beloved Baby Ball gulfkanawut 24042021GucciGulfkanawut gulfkanaw,Gucci
112,RT EndOfTheWorld Acoustic set at gucci new storeLoving Fukase in pleated skirt and Saori in Ken Scott print dress gucci kenscot,Gucci
113,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
114,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
115,RT CloutNewsMedia DakotaJohnson Wears Sheer Gucci Jumpsuit With A Pink Sequined CardiganGucci Fashion Lifestyle NewProduct LateNi,Gucci
116,tom ford gucci iconic 1996 cut out black maxi long dress with gold belt Item specifics,Gucci
117,RT gucci Guccis new brand ambassador LuHan appears in LOfficielChinas latest issue wearing a GucciPreFall20 singlebreasted jacket,Gucci
118,RT gucci At the Gucci boutique in Seoul for the third in a series of events to celebrate the launch of GucciZumiAlessandroMicheles l,Gucci
119,RT weareoneEXO EXO KAI to feature on ltEsquiregt cover of March issueKAI x Gucci Capsule Collection to be revealed for the first time Th,Gucci
120,RT LoveBii4 Polyplus Jad Hai Twitter Update with My Beloved Baby Ball gulfkanawut 24042021GucciGulfkanawut gulfkanaw,Gucci
121,RT weareoneEXO KAI to have a special photoshoot with MonoTube Magazine An exceptional set with more than 50 shotsKAI X Gucci collect,Gucci
122,RT guccidog2020 Good morning world hope everyone has a blessed weekend zshq zombiebullz theruffriderz dogs dogsoftwitter TE,Gucci
123,RT LoveBii4 Polyplus Jad Hai Twitter Update with My Beloved Baby Ball gulfkanawut 24042021GucciGulfkanawut gulfkanaw,Gucci
124,Negative thinking is a waste of thought keep your energy right gucci Lifestyle lifestylezuluboyep,Gucci
125,Polyplus Jad Hai Twitter Update with My Beloved Baby Ball gulfkanawut 24042021GucciGulfkanawut,Gucci
126,RT guccidog2020 Good morning world hope everyone has a blessed weekend zshq zombiebullz theruffriderz dogs dogsoftwitter TE,Gucci
127,RT guccidog2020 Good morning world hope everyone has a blessed weekend zshq zombiebullz theruffriderz dogs dogsoftwitter TE,Gucci
128,So good I had to share Check out all the items Im loving on Poshmarkapp poshmark fashion style shopmycloset,Gucci
129,These pants gave me watermelon sugar music video vibes Gucci Beloved Dokota Johnson gucci guccibeloved,Gucci
130,TWO KIDS IN ONE FRAME mariammirza tennisplayer pakistan MM mmirza2807 tennis style casual candid,Gucci
131,Fashion maxmara dior christiandior reebok tomford gucci tods loafers fashion fashionsnap fashionlook,Gucci
132,RT HUSTLERCASINOLA Get a chance to win this beautiful Gucci Backpack for HUSTLER Casinos MOTHERS DAY Celebration Start earning drawin,Gucci
133,RT weareoneEXO Global ambassador KAI the hero of Guccis 100th anniversary capsule collection The first Korean artist to come out wi,Gucci
134,RT kiimyoungdae KimYoungdae and HanJihyun for wkorea gucci,Gucci
135,RT ThePerezHilton Yes this is actually an advertisement for Gucci starring HarryStyles and JamesCorden A bit odd U like it https,Gucci
136,RT weareoneEXO KAI to have a special photoshoot with MonoTube Magazine An exceptional set with more than 50 shotsKAI X Gucci collect,Gucci
137,RT weareoneEXO Global ambassador KAI the hero of Guccis 100th anniversary capsule collection The first Korean artist to come out wi,Gucci
